neighborhood,sqft_living,sqft_lot,bedrooms,bathrooms,floors,has_basement,basement_sqft,garage_cars,has_pool,year_built,house_age_years,renovated,condition_score,quality_grade,school_rating,crime_rate_per_1000,dist_city_center_km,dist_school_km,dist_hospital_km,property_tax_rate_pct,hoa_monthly_usd,market_trend,price_usd
Suburbs,4326,6465,7,4,1.0,0,0,3,0,1962,62,1,8,3,4.1,4.25,18.28,7.78,14.77,1.237,0,Rising,859400
Waterfront,1543,3378,2,1,1.0,1,872,2,1,1996,28,0,7,4,5.6,3.68,11.01,5.36,6.98,1.173,279,Stable,500000
Suburbs,2049,3947,2,1,2.0,1,578,2,0,2013,11,0,9,3,5.7,3.54,13.65,6.1,11.08,1.196,0,Stable,491300
Suburbs,4337,10802,7,4,1.0,0,0,2,0,1981,43,0,7,4,4.6,3.96,15.1,7.16,10.61,1.166,0,Rising,893500
Rural,3139,7866,7,4,2.0,0,0,2,1,1977,47,0,7,2,3.5,4.87,54.04,15.0,30.0,0.96,0,Declining,567900
Downtown,4559,6850,7,4,1.0,1,1045,0,0,2002,22,1,10,4,5.5,4.05,2.88,2.78,5.44,1.22,134,Stable,1036500
Rural,4860,6955,8,5,1.0,0,0,0,0,1980,44,0,7,3,1.7,6.44,32.6,14.94,22.04,0.92,0,Stable,787100
Suburbs,2961,9200,4,3,2.0,1,752,0,0,1957,67,1,7,3,6.3,3.66,12.99,6.0,8.15,1.236,0,Declining,722500
Downtown,4252,9888,7,4,3.0,0,0,2,0,2021,3,0,10,5,5.5,2.55,1.65,0.76,3.64,1.122,267,Declining,935800
Industrial,4270,10994,7,4,2.0,1,1150,2,0,2023,1,0,10,2,2.4,7.07,13.63,5.93,8.3,0.915,106,Stable,906900
Industrial,2353,6793,4,3,3.0,0,0,1,0,1974,50,0,8,2,1.8,7.48,11.83,4.94,8.84,1.065,0,Rising,573500
Waterfront,2952,6550,6,4,3.0,0,0,2,0,1982,42,0,7,5,6.5,1.72,12.74,5.79,10.03,1.198,239,Stable,680400
Suburbs,2538,9244,4,2,1.0,0,0,3,0,2017,7,0,9,4,5.2,3.48,5.51,3.49,6.53,1.056,106,Declining,601500
Downtown,970,2243,1,1,1.0,0,0,2,0,1956,68,0,5,4,4.6,2.6,1.41,1.6,3.38,1.243,254,Stable,443600
Rural,2531,7915,5,4,2.0,1,1068,2,0,2015,9,0,10,3,3.1,6.43,59.94,15.0,30.0,1.205,106,Stable,522700
Suburbs,1024,3626,1,1,2.5,0,0,1,0,1995,29,1,10,4,5.3,6.09,9.32,5.26,10.25,1.266,0,Declining,385300
Downtown,1494,6589,3,2,2.0,0,0,1,0,1954,70,0,5,5,6.5,1.95,1.06,0.69,3.89,1.286,317,Rising,576300
Suburbs,1197,8728,2,1,3.0,0,0,0,0,1966,58,0,6,3,5.1,2.18,6.26,2.96,5.34,1.249,0,Rising,408800
Downtown,3662,7074,5,3,1.0,1,1126,1,0,2001,23,1,8,4,6.2,4.6,0.95,1.73,5.4,1.277,114,Declining,773700
Industrial,2936,7173,6,4,1.0,1,1429,1,1,1961,63,0,6,2,2.0,6.03,17.9,7.55,15.15,0.998,0,Rising,801700
Suburbs,2287,9456,3,1,2.0,0,0,2,0,2011,13,0,10,4,3.8,5.93,8.83,4.89,6.02,1.241,0,Rising,669100
Rural,1172,2523,2,2,2.0,0,0,0,0,1984,40,0,6,2,2.8,7.74,20.14,10.01,15.36,1.06,0,Declining,256500
Suburbs,2690,5335,4,2,1.0,1,1237,1,0,2011,13,0,8,3,3.8,4.82,14.29,7.38,11.37,1.145,0,Stable,670100
Suburbs,4269,6425,8,5,1.5,1,328,1,0,1970,54,0,7,4,4.1,5.63,8.45,3.7,6.03,1.169,106,Stable,814100
Suburbs,4872,12095,8,4,1.0,1,964,2,0,2015,9,0,9,4,4.1,1.97,10.76,5.34,7.62,1.183,0,Stable,1158700
Suburbs,2233,6991,2,1,2.0,0,0,2,0,2002,22,0,9,4,4.0,2.54,15.82,7.17,12.31,1.181,106,Rising,579600
Industrial,2117,8187,5,3,3.0,0,0,2,0,1970,54,0,6,1,2.7,7.42,18.92,9.55,12.96,1.011,0,Stable,455200
Waterfront,4893,11234,8,5,3.0,1,815,1,1,1964,60,1,8,5,5.3,2.04,14.65,7.79,12.96,1.151,457,Stable,987400
Industrial,3257,7364,7,4,2.0,1,1048,2,0,2023,1,0,10,2,3.6,6.14,17.95,7.43,11.26,0.954,106,Rising,768300
Industrial,4248,5255,7,5,2.0,1,1343,0,1,1972,52,0,5,2,3.0,8.05,14.47,7.61,13.25,0.848,0,Stable,791300
Rural,4188,4574,7,4,2.0,1,834,1,0,1980,44,0,7,2,3.8,6.56,28.11,11.63,21.07,1.051,0,Rising,894500
Industrial,2137,8176,3,1,1.0,1,720,3,0,2003,21,0,8,1,1.9,8.34,14.08,6.27,12.14,1.009,0,Rising,504500
Downtown,3737,8764,6,3,1.0,1,745,3,1,2004,20,1,10,5,5.8,2.47,1.82,1.43,2.4,1.357,206,Rising,1068400
Suburbs,697,6928,3,2,1.0,0,0,2,0,1975,49,0,7,4,3.9,4.15,19.99,8.57,15.57,1.18,0,Rising,393500
Downtown,3815,9324,6,3,2.5,0,0,3,1,2002,22,0,9,4,5.8,4.76,2.76,2.81,3.85,1.188,441,Declining,728600
Suburbs,4350,10057,7,5,3.0,0,0,2,0,2015,9,0,10,3,3.4,2.63,8.2,3.94,8.09,1.108,0,Rising,941300
Suburbs,3757,8481,6,4,2.0,1,946,0,0,1988,36,1,9,4,5.4,4.06,9.07,5.26,7.0,1.215,106,Rising,884200
Suburbs,943,8144,1,1,2.0,0,0,3,0,1956,68,0,5,4,4.2,3.12,14.29,7.7,12.75,1.082,106,Rising,486500
Waterfront,1210,2717,3,2,1.0,0,0,0,0,1988,36,0,7,5,6.2,4.53,12.32,6.61,7.59,1.265,443,Stable,452000
Suburbs,2327,4811,3,2,2.0,0,0,2,0,1981,43,0,7,3,5.0,7.05,16.28,7.2,13.23,1.245,0,Rising,598000
Suburbs,2890,8403,4,3,2.0,0,0,1,0,1975,49,1,8,3,4.3,4.42,5.13,3.47,7.22,1.352,106,Rising,514600
Suburbs,2454,8060,5,3,2.0,0,0,2,0,1978,46,1,8,4,4.1,4.76,14.78,6.98,12.1,1.266,0,Stable,552700
Downtown,3208,8274,5,3,1.0,1,316,2,0,1974,50,1,10,5,5.6,2.79,2.86,2.72,2.68,1.172,153,Stable,853400
Waterfront,2679,3636,5,4,2.5,1,1123,2,0,2005,19,1,10,4,6.6,2.33,12.15,5.17,8.71,1.175,414,Declining,768900
Downtown,2924,7355,6,4,2.0,1,861,1,0,1980,44,0,7,4,5.6,3.02,1.65,1.94,3.56,1.288,227,Stable,727300
Industrial,1777,6864,4,2,3.0,1,946,1,0,2015,9,0,8,2,2.8,5.46,16.97,8.34,11.83,0.954,0,Rising,534200
Waterfront,1691,5745,3,2,2.5,1,929,1,0,1951,73,1,8,4,6.6,3.29,9.57,5.35,5.77,1.102,312,Stable,607700
Suburbs,3391,7857,7,4,3.0,0,0,3,0,1996,28,0,9,3,4.5,2.98,8.45,5.31,5.27,1.409,106,Stable,795600
Downtown,2349,4755,3,2,1.0,1,359,2,1,1978,46,0,6,5,5.6,2.49,1.58,0.75,4.79,1.242,526,Rising,688800
Waterfront,3275,9819,5,3,1.0,0,0,2,0,1998,26,1,8,5,6.1,2.54,7.05,3.51,4.65,1.375,279,Rising,933300
Rural,1381,5139,2,1,1.0,0,0,1,0,2022,2,0,10,4,3.8,5.34,37.86,15.0,27.36,0.992,0,Rising,437100
Rural,3648,5428,6,4,1.0,1,690,2,0,1981,43,1,9,3,2.8,6.97,44.47,15.0,28.9,1.022,0,Rising,712100
Waterfront,2705,3866,4,2,2.0,1,1235,1,1,1979,45,1,8,5,6.8,1.93,5.57,2.85,7.13,1.265,246,Rising,776800
Downtown,4467,8514,6,4,2.0,1,984,1,0,1964,60,0,6,5,5.8,4.2,1.91,1.12,1.77,1.198,283,Declining,846800
Suburbs,2713,9639,5,3,2.0,1,797,2,0,2011,13,0,9,4,4.2,3.12,11.7,6.31,11.65,1.074,106,Stable,735300
Downtown,4570,8345,7,5,1.0,1,899,3,0,1966,58,0,5,6,5.6,2.72,1.92,2.58,1.32,1.445,263,Rising,1109100
Industrial,2591,3666,6,3,3.0,0,0,1,0,1971,53,1,7,2,1.5,5.8,9.27,3.87,5.77,1.01,0,Rising,598700
Rural,1667,4285,3,1,1.0,1,979,1,0,1979,45,0,7,3,2.1,7.43,57.88,15.0,30.0,0.867,106,Rising,435100
Suburbs,2177,6575,3,2,1.0,1,429,2,1,1965,59,0,6,3,5.1,3.79,14.06,6.08,8.95,1.16,0,Rising,648200
Downtown,1611,2812,4,2,2.0,0,0,1,1,2001,23,1,8,4,6.2,2.25,1.39,1.57,3.27,1.081,196,Stable,575700
Suburbs,2874,8318,5,3,2.0,0,0,2,0,1957,67,0,7,3,4.6,3.94,8.68,5.05,9.15,1.065,0,Stable,741600
Suburbs,2414,5998,4,1,1.5,1,1247,2,0,2013,11,0,8,4,4.7,4.04,10.49,4.34,7.72,1.161,0,Rising,720400
Rural,3026,10345,5,3,1.0,0,0,2,1,1988,36,0,8,2,2.6,6.74,31.8,13.99,22.81,1.079,106,Rising,709600
Rural,3151,7417,8,5,2.0,0,0,1,0,1980,44,0,7,1,3.1,6.9,59.7,15.0,30.0,0.773,0,Declining,546000
Industrial,4257,7302,7,4,1.0,1,1353,1,0,1961,63,0,5,2,3.7,6.9,21.26,10.45,17.3,1.147,0,Rising,839300
Suburbs,607,2288,2,1,1.0,0,0,2,0,1982,42,0,7,3,5.4,4.12,7.53,4.81,5.26,1.084,106,Rising,345100
Downtown,3155,6656,4,2,2.0,1,1347,3,0,2007,17,0,8,4,5.6,0.5,0.69,2.18,1.09,1.203,561,Rising,992100
Rural,1075,1932,1,1,1.0,0,0,1,0,1961,63,0,8,3,2.9,5.71,32.93,13.38,20.37,1.178,0,Rising,287200
Waterfront,2811,10036,6,3,1.0,1,1022,1,1,1974,50,1,8,4,5.7,4.22,14.22,6.66,10.33,1.421,335,Stable,783900
Rural,1084,6600,3,2,2.0,0,0,0,0,1987,37,0,8,2,2.0,6.79,37.6,15.0,25.01,0.963,0,Stable,286200
Waterfront,2885,5865,5,3,3.0,1,901,2,0,1997,27,0,7,4,5.7,1.21,12.04,6.02,9.53,1.356,322,Rising,856300
Suburbs,4125,4747,7,4,3.0,1,983,2,0,2004,20,1,10,3,5.1,3.7,14.58,6.3,10.03,1.166,0,Rising,950900
Suburbs,3939,10854,6,4,1.5,0,0,2,0,1952,72,0,5,2,4.0,3.45,17.68,8.61,13.72,1.415,0,Stable,800500
Suburbs,3422,7303,5,3,1.0,0,0,2,0,2018,6,0,8,3,4.5,5.45,5.21,3.37,4.82,1.083,0,Rising,804400
Downtown,3524,7990,5,3,1.0,1,879,2,0,1984,40,1,7,4,4.9,4.08,2.23,2.04,3.17,1.39,210,Rising,886300
Downtown,858,8607,2,1,1.0,0,0,3,0,2000,24,1,9,4,6.2,1.98,2.55,2.67,2.06,1.166,362,Declining,421000
Downtown,882,7398,2,1,2.0,0,0,0,1,1976,48,1,10,4,4.8,2.93,2.26,1.9,4.32,1.118,397,Stable,444500
Rural,2498,5408,5,3,2.0,0,0,1,0,1986,38,1,10,2,3.4,4.89,43.17,15.0,29.18,0.995,0,Stable,496600
Suburbs,4735,5387,8,5,2.0,0,0,0,1,1965,59,0,8,4,5.4,3.41,18.18,8.51,14.7,0.986,0,Stable,842100
Suburbs,3576,6173,6,4,1.5,0,0,3,0,1974,50,1,7,4,4.4,3.46,8.05,5.13,9.35,1.057,106,Rising,872200
Industrial,2867,5042,4,3,1.0,1,402,2,0,1982,42,1,8,1,1.9,6.24,15.78,7.51,13.3,0.943,106,Declining,609000
Suburbs,3800,5657,6,3,2.0,1,667,2,0,2011,13,0,8,5,5.0,4.61,9.73,5.15,7.02,1.125,0,Stable,805600
Suburbs,1212,3953,3,1,1.0,0,0,0,0,1966,58,0,4,3,5.8,5.79,6.64,4.53,5.16,1.242,0,Rising,384400
Waterfront,1287,8250,2,2,2.0,0,0,1,0,1992,32,1,8,4,6.9,2.43,14.81,6.95,13.46,1.332,145,Rising,551000
Suburbs,4290,7565,8,4,2.0,1,1208,1,0,1979,45,0,7,4,4.6,2.9,7.04,4.81,8.17,1.146,106,Rising,1056600
Downtown,1212,4576,3,1,2.0,0,0,2,0,1990,34,1,10,4,5.0,3.17,2.86,1.46,5.63,1.051,137,Rising,559900
Suburbs,2907,6073,5,3,2.0,1,689,1,0,1953,71,0,6,4,4.5,4.42,16.63,7.73,13.58,0.937,0,Rising,719300
Suburbs,3613,5866,6,3,2.0,1,1072,0,0,2015,9,0,9,3,3.5,3.94,18.57,7.85,12.48,1.097,0,Rising,772500
Industrial,2381,2868,3,2,1.0,1,1053,2,0,2009,15,0,9,1,1.9,9.31,8.28,4.22,9.21,0.891,106,Rising,518400
Waterfront,3191,9128,5,3,1.0,1,693,1,0,1958,66,0,6,4,6.3,2.79,5.67,2.61,4.12,1.191,462,Rising,852200
Rural,3296,6713,5,4,2.0,1,982,2,0,1980,44,1,9,3,2.7,6.94,55.49,15.0,30.0,1.187,0,Rising,748900
Industrial,4558,8612,8,5,1.0,0,0,1,0,2018,6,0,9,2,1.9,4.39,18.47,7.81,12.81,0.914,0,Rising,871000
Waterfront,1174,2821,2,1,2.0,0,0,2,0,1973,51,1,8,4,6.0,1.34,4.35,2.38,5.41,1.163,564,Rising,545800
Suburbs,2510,8719,3,1,2.0,1,1110,2,0,1973,51,0,7,5,4.5,4.78,19.82,8.2,14.21,1.15,0,Rising,661300
Industrial,4204,5011,7,5,3.0,1,327,3,0,1994,30,1,9,1,2.9,7.42,11.26,6.12,9.06,0.923,0,Rising,886200
Suburbs,1269,6021,3,2,3.0,0,0,2,0,1986,38,0,7,4,3.7,3.71,17.14,7.3,13.05,1.21,0,Stable,457800
Waterfront,4964,6928,8,4,1.0,1,579,3,0,2007,17,0,9,4,6.4,3.04,13.8,6.35,10.36,1.275,206,Rising,1042200
Industrial,1883,3308,3,2,3.0,0,0,3,0,1972,52,0,7,1,2.3,8.2,9.55,3.85,6.98,1.16,0,Rising,428900
Suburbs,1523,2958,3,2,2.0,1,316,2,1,1984,40,1,8,5,5.0,3.6,15.89,6.57,12.85,1.121,0,Declining,519700
Downtown,1725,2954,2,2,2.0,0,0,3,0,2012,12,0,8,5,4.7,2.17,0.74,2.09,4.4,1.418,497,Stable,511400
Suburbs,2129,5000,4,2,1.0,0,0,1,1,1955,69,0,7,4,5.3,3.86,17.94,8.85,13.16,1.22,0,Stable,637900
Suburbs,2194,8913,4,3,2.5,1,1368,2,0,1955,69,0,6,4,5.0,4.76,7.63,4.73,7.83,1.203,106,Stable,694700
Waterfront,846,5008,1,1,1.0,0,0,0,1,1979,45,0,8,5,7.2,1.81,12.11,5.67,9.94,1.051,488,Rising,473000
Industrial,4311,9053,7,4,2.5,1,488,2,0,1950,74,1,6,1,1.8,8.11,20.83,8.62,12.79,0.761,0,Stable,766200
Downtown,2160,7290,4,3,1.0,1,950,2,0,2012,12,0,10,4,5.3,2.34,1.51,0.82,3.02,1.064,281,Stable,732500
Suburbs,3000,6377,4,3,2.0,0,0,2,0,1957,67,0,6,3,3.4,3.5,8.96,4.8,5.43,1.171,0,Rising,677400
Suburbs,2843,6765,4,3,1.5,1,593,1,0,1977,47,0,7,2,4.1,6.98,15.82,7.98,12.8,1.225,0,Stable,619200
Suburbs,4464,9570,7,4,1.0,1,1356,2,1,1982,42,0,6,4,5.7,2.69,12.14,6.66,9.82,1.203,0,Stable,1089800
Downtown,2539,8259,4,2,1.0,0,0,1,0,2002,22,1,8,5,5.9,3.85,2.34,1.51,2.04,1.229,540,Rising,718000
Suburbs,3669,11132,6,4,1.5,0,0,2,1,1987,37,0,7,3,4.2,2.0,12.3,5.56,10.09,1.24,0,Rising,895200
Industrial,826,6533,1,1,1.0,0,0,1,0,2001,23,1,9,2,2.4,7.87,17.97,7.39,15.27,1.094,0,Rising,300600
Suburbs,4147,9401,6,3,2.0,1,1423,3,0,1960,64,0,4,4,4.6,7.4,6.67,4.22,5.7,1.119,106,Rising,994600
Suburbs,864,2539,1,1,2.0,0,0,1,0,1951,73,0,5,4,3.3,5.44,16.65,7.21,14.9,1.206,106,Rising,344100
Rural,1995,5091,3,2,2.5,0,0,1,1,2002,22,0,7,1,1.8,7.86,30.72,13.25,23.23,1.063,0,Rising,523900
Suburbs,4157,5165,8,5,2.0,1,388,3,0,2017,7,0,10,3,5.4,4.05,9.61,5.7,9.69,1.231,0,Rising,902100
Industrial,1245,2423,3,2,1.0,0,0,2,0,1956,68,1,8,3,2.8,8.21,18.74,9.0,15.31,1.008,0,Declining,275100
Industrial,3590,6253,7,4,1.0,0,0,0,0,2016,8,0,8,2,1.3,7.38,19.07,7.73,13.49,1.001,106,Stable,616600
Suburbs,2499,3424,4,3,1.0,1,577,2,0,1958,66,0,6,4,4.6,6.6,17.21,6.9,12.34,1.09,0,Stable,558300
Suburbs,3104,10975,5,3,3.0,1,505,0,1,2012,12,0,10,5,4.2,2.84,16.21,8.06,14.5,1.171,0,Rising,858800
Suburbs,3372,6073,4,2,2.5,1,1212,3,0,1960,64,1,6,3,5.4,5.59,14.14,6.76,10.31,1.116,106,Rising,881200
Suburbs,1754,5316,3,1,1.5,0,0,2,0,1986,38,1,9,4,5.0,4.68,8.58,4.87,5.63,1.043,0,Stable,612000
Downtown,1187,9088,2,2,1.0,0,0,1,0,1963,61,0,8,3,4.9,1.82,2.9,1.47,2.5,1.255,501,Rising,495300
Rural,2421,3837,4,2,3.0,0,0,2,0,1968,56,0,5,2,3.1,5.92,37.12,15.0,25.82,0.923,0,Rising,425800
Suburbs,1585,5836,3,2,3.0,1,1161,0,0,1957,67,1,8,4,4.6,2.25,5.68,3.82,5.32,1.146,0,Stable,557400
Downtown,4679,7076,7,4,2.5,1,635,2,0,1956,68,1,10,4,5.6,0.5,2.02,2.59,2.21,1.188,239,Rising,1128600
Suburbs,3948,10147,6,4,2.5,1,905,3,0,2008,16,0,10,4,4.3,2.73,6.51,3.29,7.97,1.094,0,Rising,938600
Industrial,4431,7437,8,5,2.0,1,891,3,0,2012,12,0,9,2,2.4,6.62,13.98,6.14,10.83,1.116,0,Declining,819200
Suburbs,1841,2819,3,1,1.0,1,1361,1,0,1956,68,1,9,4,4.1,4.26,10.37,4.45,9.06,1.314,0,Rising,610100
Downtown,789,1961,1,1,2.0,0,0,1,0,2004,20,0,9,4,4.8,1.34,1.7,2.54,1.79,1.195,337,Stable,404400
Suburbs,1580,4590,3,2,2.0,0,0,0,1,1952,72,0,4,4,3.8,3.79,13.91,5.92,9.31,1.25,106,Declining,434900
Industrial,2298,9643,4,3,2.0,1,1007,2,1,2016,8,0,10,1,1.6,7.37,9.17,3.91,6.13,0.817,106,Rising,658300
Suburbs,2315,8149,3,1,2.0,0,0,2,0,1967,57,0,6,3,5.0,3.47,14.72,6.27,11.4,1.032,106,Declining,549300
Rural,3193,8905,5,3,1.0,0,0,2,0,1994,30,0,8,3,3.3,4.95,23.77,11.05,18.14,1.019,0,Rising,609800
Waterfront,4736,12419,8,5,1.5,1,886,3,0,1985,39,1,7,5,7.0,1.62,9.25,5.48,9.21,1.143,484,Declining,956500
Suburbs,1698,4021,2,1,1.5,1,1105,1,0,1965,59,0,5,3,4.5,5.77,18.77,9.13,12.57,1.188,0,Rising,505100
Rural,2926,3724,6,4,1.0,1,1019,0,0,1978,46,0,6,2,3.5,4.18,35.21,15.0,25.38,1.054,0,Declining,501300
Suburbs,3847,7388,6,3,2.0,1,1248,0,0,2008,16,0,8,3,4.7,5.55,5.26,4.09,3.68,1.145,0,Stable,844600
Rural,1495,1919,2,1,2.5,0,0,1,0,1967,57,0,6,2,3.2,7.89,41.83,15.0,25.67,1.262,0,Stable,295600
Rural,2274,8123,3,2,2.5,1,773,0,0,1998,26,1,9,3,3.6,5.82,22.7,10.81,17.87,1.062,0,Stable,555900
Suburbs,3509,9965,4,2,1.5,0,0,2,1,1995,29,1,8,4,5.1,4.72,5.76,3.16,4.68,1.208,0,Rising,932200
Downtown,1530,8124,3,2,2.0,1,510,1,0,1978,46,0,6,4,5.7,1.98,1.69,1.59,4.55,1.274,536,Rising,606100
Waterfront,4984,12584,8,4,1.0,1,1381,1,0,2019,5,0,9,4,5.6,2.82,14.41,6.02,8.69,1.16,226,Rising,1097100
Suburbs,1323,2363,3,2,2.0,0,0,2,0,1999,25,0,9,3,4.9,6.84,9.52,3.87,6.18,1.345,0,Rising,448300
Suburbs,3540,5554,6,3,1.5,0,0,1,0,2004,20,0,9,4,5.6,5.69,18.72,8.12,14.28,1.01,0,Stable,774300
Downtown,1689,6698,3,2,1.5,1,1199,2,0,1976,48,0,7,5,5.8,2.31,0.75,0.65,1.36,1.254,544,Stable,634600
Rural,1535,2841,2,1,2.5,0,0,1,0,1956,68,0,7,3,2.7,4.67,46.33,15.0,27.94,1.099,0,Stable,354400
Rural,2895,3219,4,2,2.0,0,0,2,0,1990,34,0,8,2,3.6,5.9,49.2,15.0,30.0,1.123,106,Rising,597800
Downtown,755,4201,2,1,1.0,0,0,3,0,1960,64,0,6,5,4.7,3.24,1.66,0.94,2.65,1.194,365,Stable,389500
Suburbs,1670,7058,3,3,1.0,0,0,0,0,1954,70,0,7,3,4.4,5.03,19.6,9.59,15.77,1.224,0,Rising,534200
Suburbs,2558,9972,5,3,2.0,1,924,2,0,2015,9,0,9,4,4.0,4.04,8.47,5.23,9.18,1.045,0,Stable,801600
Rural,3101,6232,5,3,1.5,1,671,3,1,2005,19,0,10,2,2.9,8.39,35.04,15.0,24.1,1.192,106,Rising,634700
Suburbs,4819,10394,8,5,2.5,0,0,2,0,1961,63,0,7,3,5.5,4.21,17.86,8.51,12.18,1.134,0,Rising,1020100
Rural,4430,10476,6,4,2.0,1,973,1,0,1991,33,1,8,2,3.4,5.68,28.11,12.79,19.17,0.975,0,Stable,837400
Suburbs,1454,5779,1,1,2.0,0,0,2,0,1959,65,1,7,3,3.4,4.8,6.46,4.26,7.39,1.086,106,Rising,480600
Industrial,1239,7863,2,1,2.0,0,0,2,0,1977,47,0,7,2,1.9,7.92,21.0,9.72,12.95,1.005,106,Rising,341400
Downtown,2838,6009,6,4,1.5,1,1404,3,1,1956,68,0,4,3,4.6,2.0,2.2,1.54,2.98,1.067,513,Stable,728700
Suburbs,2202,4419,3,1,1.5,1,621,0,0,1963,61,1,10,3,5.4,3.04,15.66,6.58,13.51,1.238,0,Rising,659900
Downtown,1041,8645,1,1,1.5,0,0,0,0,2018,6,0,8,4,5.3,0.95,2.12,1.32,3.3,1.165,516,Stable,428600
Industrial,1936,9551,4,3,2.0,1,1366,1,0,2010,14,0,9,2,2.4,6.74,12.49,6.68,10.62,1.105,0,Declining,521500
Industrial,4300,6915,7,4,1.0,1,592,1,0,2000,24,0,9,1,2.4,8.54,15.47,7.58,9.76,0.851,0,Stable,692900
Suburbs,1548,6338,4,2,3.0,1,987,1,1,1991,33,0,8,3,4.8,4.97,10.38,5.06,10.11,1.163,0,Stable,619400
Rural,3973,7269,6,4,1.0,1,1187,1,0,1957,67,0,6,1,1.0,7.6,24.5,9.86,15.2,1.08,0,Rising,781800
Waterfront,1059,2868,3,2,1.0,0,0,1,0,1999,25,1,9,4,6.3,1.71,11.22,5.02,11.04,1.316,338,Stable,489600
Rural,992,1909,1,1,1.0,0,0,1,1,1950,74,1,10,2,2.6,6.05,43.74,15.0,26.78,0.973,0,Rising,310700
Suburbs,4538,8299,7,4,1.0,1,930,3,0,2018,6,0,10,4,5.3,1.88,19.46,8.81,16.13,1.027,0,Stable,959400
Suburbs,2387,3603,4,3,1.5,0,0,1,0,1960,64,0,5,2,4.8,5.38,9.5,4.67,7.52,1.104,0,Rising,568500
Downtown,2857,6622,5,3,1.0,1,866,1,0,1997,27,1,10,5,6.1,4.53,2.42,1.6,4.57,1.342,118,Rising,932700
